route_number,route_id
260,310-01
261,310-02
262,310-03
257,31-02
946,31-04
264,311-01
1003,311-02
1955,311-03
1956,311-04
1957,311-05
2334,311-06
266,313-01
268,314-01
4021,3150-01
926,315-01
927,315-02
270,316-01
272,317-01
273,317-02
275,318-01
276,318-02
277,318-03
278,318-04
1057,318-05
2694,318-06
4958,318-08
280,319-01
281,319-02
1316,319-03
3854,319-04
283,320-01
3134,320-02
3135,320-03
3136,320-04
3137,320-05
3138,320-06
929,32-01
930,32-02
931,32-03
932,32-04
995,32-05
996,32-06
2994,32-07
6659,32-08
285,321-01
286,321-02
7419,3250-01
915,325-01
1001,325-02
917,326-01
919,327-01
920,327-02
972,327-03
922,328-01
1842,328-02
924,329-01
2695,329-02
934,330-01
975,330-02
1022,330-03
1682,330-04
1683,330-05
2575,330-06
2576,330-07
6078,330-08
899,33-01
288,3301A-01
6254,3301A-03
290,3301B-01
1058,3301B-02
6384,3301B-03
6383,3301B-04
900,33-02
292,3302A-01
293,3302A-03
294,3302A-04
2182,3302A-05
2183,3302A-06
2974,3302A-07
5821,3302A-08
6255,3302A-09
6381,3302A-10
296,3302B-01
297,3302B-02
5822,3302B-03
6379,3302B-04
6378,3302B-05
299,3302D-01
2294,3302D-02
2295,3302D-03
6419,3302D-04
6374,3302D-05
901,33-03
902,33-04
997,33-05
1742,33-06
6266,33-07
936,331-01
974,331-02
1686,331-03
938,332-01
4836,332-02
940,333-01
942,334-01
911,3350-01
1319,335-01
2186,336-01
3914,336-02
3915,336-03
3997,337-01
7559,338-01
4015,340-01
4016,340-02
6698,340-03
970,34-01
971,34-02
3995,341-01
5256,341-02
3999,342-01
4000,342-02
4001,342-03
4002,342-04
301,350-01
987,35-01
755,3501A-01
756,3501A-04
1602,3501A-05
2360,3501A-06
3419,3501A-07
3420,3501A-08
3421,3501A-09
3719,3501A-10
3718,3501A-11
4614,3501A-12
6336,3501A-13
6337,3501A-14
6338,3501A-15
6339,3501A-16
6372,3501A-17
303,3501B-01
3434,3501B-03
6340,3501B-04
3735,35-02
305,3502-01
1040,3502-02
3362,3502-03
6364,3502-04
307,3503A-01
308,3503A-02
309,3503A-03
310,3503A-05
1307,3503A-06
3318,3503A-07
3319,3503A-08
3320,3503A-09
3321,3503A-10
6341,3503A-11
6342,3503A-12
6343,3503A-13
6370,3503A-14
951,4000-01
1202,4001-01
1216,4001-02
1217,4001-03
