route_number,route_id
1184,E108-01
1186,E109-01
1188,E111-01
1174,E114-01
2676,E117-01
2956,E118-01
5937,E130-01
5358,PR01-01
5360,PR02-01
1324,S10-01
4434,S10-02
7578,S10-03
7579,S10-04
7639,S11-01
6599,S19-01
1327,S20-01
1328,S20-02
6178,S20-03
1330,S21-01
1332,S22-01
4877,S22-02
5036,S22-03
1335,S31-01
2054,S31-02
1396,S32-01
1397,S32-02
1340,S33-01
1341,S33-02
1342,S33-03
1344,S41-01
1345,S41-02
1347,S50-01
1348,S50-02
8238,S50-03
1351,S51-01
2754,S51-02
5796,S51-03
1353,S52-01
1354,S52-02
1377,S53-01
1356,S54-01
1357,S54-02
1359,S55-01
7319,S56-01
1361,S60-01
1362,S60-02
1364,S61-01
5756,S61-02
4395,S61-03
1366,S63-01
1367,S63-02
1369,S64-01
1370,S64-02
1372,S65-01
2094,S65-02
1374,S66-01
4936,S66-02
1379,S70-01
4937,S70-02
1337,S80-01
1338,S80-02
1662,S80-03
1381,S81-01
1383,S82-01
3794,S82-02
1386,S83-01
1387,S83-02
1388,S83-03
1389,S83-04
1391,S85-01
1393,S90-01
7339,S92-01
708,SA01-01
855,SA01-02
865,SA01-03
710,SC01A-01
712,SC01B-01
6466,SC01B-02
714,SC01R-01
877,SC01R-02
716,SC02A-01
718,SC02B-01
719,SC02B-02
6353,SC02B-03
721,SC03A-01
723,SC03B-01
725,SC04A-01
6351,SC04A-02
727,SC04B-01
3454,SC04B-02
5362,SD01-01
5364,SD02-01
4817,SE01-01
5237,SE01-02
4819,SE02-01
5637,ST01-01
5697,ST01-02
5698,ST01-03
