stop_id,stop_name,stop_lat,stop_lon
10100130600640,Estacao Move  Barreiro ,-19.97477301931237,-44.0220132041767
10100446100580,Estacao Move Senai ,-19.90639647366688,-43.94348498583775
10100446100880,Estacao Move Hospital Odilon Behrens ,-19.90394540382196,-43.94459982011109
10100446101200,Estacao Move Iapi ,-19.90055436650624,-43.94597685120773
10100446101560,Estacao Move Hospital Belo Horizonte ,-19.89791016004391,-43.94774435158377
10100446101980,Estacao Move Operarios ,-19.89497436496675,-43.94940673052616
10100446102650,Estacao Move Aparecida ,-19.88961523206528,-43.94984994510864
10100446103100,Estacao Move Americo Vespucio ,-19.88334913313165,-43.95063683683831
10100446103640,Estacao Move Cachoeirinha ,-19.88001588648164,-43.95171172149556
10100446103720,Estacao Move Sao Francisco ,-19.87749094503665,-43.95256882985871
10100446104060,Estacao Move Colegio Militar ,-19.87288383076592,-43.95428960655015
10100446106290,Estacao Move Liberdade ,-19.86768187180935,-43.9562720373891
10100446106700,Estacao Move Ufmg ,-19.86370045866099,-43.95776597817895
10100446107452,Estacao Move Mineirao ,-19.85763793841837,-43.96000494277616
10100446108400,Estacao Move Santa Rosa ,-19.84959099227219,-43.96532870751105
10101153700105,Estacao Move  Venda Nova ,-19.80871479179232,-43.96942469920808
10101865200550,Estacao Move Silviano Brandao ,-19.90362635781176,-43.93200240316154
10101865201240,Estacao Move Sagrada Familia ,-19.90049377768194,-43.92816526383719
10101865201404,Estacao Move Sao Judas Tadeu ,-19.89696332241666,-43.92761341027543
10101865201840,Estacao Move Feira Dos Produtores ,-19.89164805582483,-43.92837992598616
10101865202300,Estacao Move Cidade Nova ,-19.8875311671531,-43.92929583435786
10101865202640,Estacao Move Ipiranga ,-19.88333436556894,-43.9298910109104
10101865202842,Estacao Move Uniao ,-19.88102297539503,-43.9299223869856
10101865203430,Estacao Move Ouro Minas ,-19.87685281420779,-43.92871199158924
10101865204800,Estacao Move Minas Shopping ,-19.87063943895202,-43.92779097014902
10101865205600,Estacao Move  Sao Gabriel ,-19.86409946456643,-43.92679926553141
10103261701820,Estacao Move  Jose Candido ,-19.88337622211904,-43.91297846688353
10103536600140,Estacao Move Estacao Ponto Sao Jose ,-19.90123889907225,-43.99100483384617
10104833700700,Estacao Move Monte Castelo ,-19.83790158821236,-43.96581503923998
10104833701270,Estacao Move Montese ,-19.83361571679416,-43.96375164545673
10104833701800,Estacao Move Lagoa Do Nado ,-19.83001801346201,-43.96194169213162
10104833702230,Estacao Move Sao Joao Batista ,-19.82667104092925,-43.9582913883205
10104833702700,Estacao Move Planalto ,-19.82470196560788,-43.95522576585781
10104833702950,Estacao Move Cristiano Guimaraes ,-19.82246858234358,-43.95341671658662
10105223000160,Estacao Move Carijos ,-19.917653363096,-43.94186924393203
10105223000300,Estacao Move Tamoios ,-19.91891683792242,-43.94222311161057
10105481603700,Estacao Move Move Pampulha ,-19.84202896518157,-43.96781835373803
10106195000480,Estacao Move Rio De Janeiro ,-19.91572767572304,-43.93837900237887
10106195000600,Estacao Move Sao Paulo ,-19.91541335154346,-43.93965514273088
10110998800036,Estacao Move  Vilarinho ,-19.82202230101529,-43.94774344662897
10110998801070,Estacao Move Upa Venda Nova ,-19.81819907258655,-43.95262356567552
10110998801400,Estacao Move Quadras Do Vilarinho ,-19.81509400749598,-43.95471569310951
10110998802170,Estacao Move Minas Caixa ,-19.81215379893114,-43.96029141581192
10110998802800,Estacao Move Candelaria ,-19.81016817485715,-43.96534522132124
10130311900120,Estacao Move  Diamante ,-19.99511655767544,-44.0240709154879
100006700452,Rua Assima Hatem Borjaili 452,-19.9320564436856,-43.910198026674
100013000100,Rua Oscar Coelho Dos Santos 100,-19.9493974977745,-43.9785235099031
100013000101,Rua Oscar Coelho Dos Santos 101,-19.9494706530999,-43.9784705793027
100017000170,Rua Maria Jose Assumpcao 170,-19.93932728330682,-44.00274087193182
100019600120,Ave Professor Candido Holanda 120,-19.953774843257,-43.9511752826549
100032900159,Ave General Olimpio Mourao Filho 159,-19.8299347133924,-43.9596580320597
100032900202,Ave General Olimpio Mourao Filho 202,-19.83031170533282,-43.95951467220483
100032900317,Ave General Olimpio Mourao Filho 317,-19.831356225546,-43.958544790124
100032900434,Ave General Olimpio Mourao Filho 434,-19.8316637790379,-43.9584480652951
100032900565,Ave General Olimpio Mourao Filho 565,-19.8330015923417,-43.9572541838876
100032900636,Ave General Olimpio Mourao Filho 636,-19.8332023716106,-43.9572396966947
100032900759,Ave General Olimpio Mourao Filho 759,-19.8340553488264,-43.9564215464635
100040400088,Ave General Carlos Guedes 88,-19.8394873297765,-43.9501357408026
100040400137,Ave General Carlos Guedes 137,-19.8393655281858,-43.9502738541926
100040400300,Ave General Carlos Guedes 300,-19.838079439732,-43.9485948420686
100040400519,Ave General Carlos Guedes 519,-19.8370269680847,-43.9477375132001
100040400610,Ave General Carlos Guedes 610,-19.8361495007992,-43.9470769859448
100040400760,Ave General Carlos Guedes 760,-19.834731941419,-43.9465190461859
100040400809,Ave General Carlos Guedes 809,-19.83473158756617,-43.94672878562322
100041700057,Rua Goncalves 57,-19.8153330707512,-43.9646809655025
100041700068,Rua Goncalves 68,-19.8153584800227,-43.9649959632153
100041700255,Rua Goncalves 255,-19.8162597365656,-43.9668268853404
100041700260,Rua Goncalves 260,-19.8162794116467,-43.9670884562049
100044500010,Ave Leontino Francisco Alves 10,-19.7980893721615,-43.9523326181444
100044500012,Ave Leontino Francisco Alves 12,-19.7977821898553,-43.951383043512
100044500209,Ave Leontino Francisco Alves 209,-19.7988550992035,-43.9543756100683
100044500210,Ave Leontino Francisco Alves 210,-19.7987508405164,-43.95434707886
100044500275,Ave Leontino Francisco Alves 275,-19.7993947586316,-43.9560214341454
100044500472,Ave Leontino Francisco Alves 472,-19.8000336635094,-43.9582642374123
100044500489,Ave Leontino Francisco Alves 489,-19.8001747015953,-43.9584020310269
100044500540,Ave Leontino Francisco Alves 540,-19.7993013599202,-43.9560267210152
100044500642,Ave Leontino Francisco Alves 642,-19.8005826398857,-43.9599333212282
100046000021,Rua Joao Moreira Da Rocha 21,-19.8656347702285,-43.9824397943271
100047300510,Rua Aarao Reis 510,-19.9193217005933,-43.934422401844
100048600240,Rua Cyro Vaz De Melo 240,-19.8596072649611,-43.9468275396212
100048600536,Rua Cyro Vaz De Melo 536,-19.8604421280428,-43.9445613228342
100053300023,Pca Abadia 23,-19.9064701336341,-43.9016235582149
100054600267,Rua Abaete 267,-19.9125700104013,-43.9502639218467
100056100241,Rua Abaiba 241,-19.8685601104722,-43.926561001095
100063400385,Ave Abilio Machado 385,-19.91184661827341,-43.99610582901082
100063400440,Ave Abilio Machado 440,-19.91174650897468,-43.99589886738168
100063400559,Ave Abilio Machado 559,-19.91112130697641,-43.99809012936048
100063400745,Ave Abilio Machado 745,-19.90967477059221,-43.99840933424009
100063400782,Ave Abilio Machado 782,-19.90908337551577,-43.9983116978222
