route_id,route_short_name,route_long_name,shape_id,initial_stop_id,final_stop_id
8207  03,8207,Maria Goretti/Estrela Dalva (Retorno Expresso),8207-03I,107470400140,100314000322
739   01,739,Est.Vilarinho/Jaqueline segundaSecao Via Frei Leopoldo (Principal),739-01I,130053200385,130053200385
83P   02,83P,Estacao Sao Gabriel / Centro - Paradora (Hospitais),83P-02I,101865205600,101865205600
64    10,64,Estacao Venda Nova/Assembleia Via Carlos Luz (Zoologico),64-10I,110998800036,110998800036
626   06,626,Estacao Venda Nova/Esplendor Via Nova America (Principal),626-06I,600026400247,600026400247
3302B 01,3302B,Trevo Via Braunas (Principal),3302B-01I,600001100057,600001100057
9103  03,9103,Santa Tereza/Santo Antonio (Desvio Feira Av.Afonso Pena),9103-03V,106287800602,100295800122
9105  05,9105,Nova Vista/Sion (Desvio Feira Av.Afonso Pena),9105-05I,700000100270,700000100270
302   04,302,Estacao Diamante / Vila Pinho (Noturno),302-04I,130311900120,130312000050
321   01,321,Olhos D Agua / Pilar (Principal),321-01I,110256000098,110256000098
711   01,711,Estacao Sao Gabriel / Solimoes (Principal),711-01I,101865205600,101865205600
330   04,330,Estacao Barreiro / Independencia (R.F. Pitangueira/Independencia),330-04I,104294900119,100130600640
