route_stop_id,route_id,stop_id,stop_sequence
173,SC02A 01,103177100073,33
174,SC02A 01,101722803300,34
175,SC02B 01,101522200232,1
176,SC02B 01,104773800245,2
177,SC02B 01,104773800109,3
178,SC02B 01,102266000004,4
179,SC02B 01,101042000252,5
180,SC02B 01,101042000510,6
181,SC02B 01,101042000800,7
182,SC02B 01,101042001104,8
183,SC02B 01,101042001488,9
184,SC02B 01,101042001896,10
185,SC02B 01,104087000153,11
186,SC02B 01,103785300547,12
187,SC02B 01,103785300195,13
188,SC02B 01,100125901271,14
189,SC02B 01,102605200485,15
190,SC02B 01,102605200285,16
191,SC02B 01,103200900348,17
192,SC02B 01,103218100276,18
193,SC02B 01,103218100564,19
194,SC02B 01,104969901206,20
195,SC02B 01,104969901578,21
196,SC02B 01,104969902026,22
197,SC02B 01,106040001600,23
198,SC02B 01,101722807347,24
199,SC02B 01,101722807061,25
200,SC02B 01,101722806777,26
201,SC02B 01,108125601657,27
202,SC02B 01,108125601287,28
203,SC02B 01,108125600923,29
204,SC02B 01,108125600449,30
205,SC02B 01,108125600263,31
206,SC02B 01,101722804317,32
207,SC02B 01,101722804057,33
208,SC02B 01,101722803743,34
209,SC02B 01,101722803513,35
210,SC02B 01,101722803257,36
211,SC02B 01,101522200232,37
212,SC02B 02,101522200232,1
213,SC02B 02,104773800245,2
214,SC02B 02,104773800109,3
215,SC02B 02,102266000004,4
216,SC02B 02,101042000252,5
217,SC02B 02,101042000510,6
218,SC02B 02,101042000800,7
219,SC02B 02,101042001104,8
220,SC02B 02,101042001488,9
221,SC02B 02,101042001896,10
222,SC02B 02,104087000153,11
223,SC02B 02,103785300547,12
224,SC02B 02,103785300195,13
225,SC02B 02,100673100176,14
226,SC02B 02,106346400795,15
227,SC02B 02,102605200285,16
228,SC02B 02,103200900348,17
229,SC02B 02,103218100276,18
230,SC02B 02,103218100564,19
231,SC02B 02,104969901206,20
232,SC02B 02,104969901578,21
233,SC02B 02,104969902026,22
234,SC02B 02,106040001600,23
235,SC02B 02,101722807347,24
236,SC02B 02,101722807061,25
237,SC02B 02,101722806777,26
238,SC02B 02,108125601657,27
239,SC02B 02,108125601287,28
240,SC02B 02,108125600923,29
241,SC02B 02,108125600449,30
242,SC02B 02,108125600263,31
243,SC02B 02,101722804317,32
244,SC02B 02,101722804057,33
245,SC02B 02,101722803743,34
246,SC02B 02,101722803513,35
247,SC02B 02,101722803257,36
248,SC02B 02,101522200232,37
249,SC03A 01,104274700052,1
250,SC03A 01,101042000252,2
251,SC03A 01,101042000510,3
252,SC03A 01,100226400190,4
253,SC03A 01,100226400586,5
254,SC03A 01,103203700176,6
255,SC03A 01,100273000400,7
256,SC03A 01,100273000594,8
257,SC03A 01,100273001030,9
258,SC03A 01,100273001342,10
259,SC03A 01,104969902026,11
260,SC03A 01,104516500064,12
261,SC03A 01,104516500304,13
262,SC03A 01,101722808476,14
263,SC03A 01,101722808902,15
264,SC03A 01,101722809090,16
265,SC03A 01,101722809384,17
266,SC03A 01,101722809626,18
267,SC03A 01,100808400071,19
268,SC03A 01,100673101833,20
269,SC03A 01,100673101549,21
270,SC03A 01,100673101143,22
271,SC03A 01,105874400756,23
272,SC03A 01,103203701149,24
273,SC03A 01,100314000927,25
274,SC03A 01,106682500213,26
275,SC03A 01,106682500023,27
276,SC03A 01,106394300383,28
277,SC03A 01,106394300153,29
278,SC03A 01,101722801298,30
279,SC03A 01,101722801650,31
280,SC03A 01,101722801916,32
281,SC03A 01,101722802120,33
282,SC03A 01,101722802416,34
283,SC03A 01,101722802664,35
284,SC03A 01,101722802762,36
285,SC03A 01,104274700052,37
286,SC03B 01,100808400071,1
287,SC03B 01,101722809939,2
288,SC03B 01,101722809661,3
289,SC03B 01,101722809317,4
290,SC03B 01,101722809081,5
291,SC03B 01,101722808495,6
292,SC03B 01,100273001881,7
293,SC03B 01,104969902025,8
294,SC03B 01,100273001365,9
295,SC03B 01,100273000999,10
296,SC03B 01,106768201645,11
297,SC03B 01,106768201351,12
298,SC03B 01,101308100863,13
299,SC03B 01,101042000845,14
300,SC03B 01,101042000491,15
301,SC03B 01,100275600145,16
302,SC03B 01,101722803257,17
303,SC03B 01,101722802983,18
304,SC03B 01,101722802787,19
305,SC03B 01,101722802655,20
306,SC03B 01,101722802419,21
307,SC03B 01,101722802241,22
308,SC03B 01,101722802017,23
309,SC03B 01,101722801707,24
310,SC03B 01,101722801511,25
311,SC03B 01,108115500112,26
312,SC03B 01,100314000144,27
313,SC03B 01,100314000510,28
314,SC03B 01,100314000856,29
315,SC03B 01,100673101126,30
316,SC03B 01,100673101504,31
317,SC03B 01,100673101800,32
318,SC03B 01,100673101962,33
319,SC03B 01,100808400071,34
320,SC04A 01,102966901116,1
321,SC04A 01,102966901492,2
322,SC04A 01,102966901812,3
323,SC04A 01,101722804474,4
324,SC04A 01,101722804638,5
325,SC04A 01,101722804766,6
326,SC04A 01,101722805040,7
327,SC04A 01,101722805170,8
328,SC04A 01,101722805326,9
329,SC04A 01,101722805602,10
330,SC04A 01,101873800336,11
331,SC04A 01,101873800666,12
332,SC04A 01,100955300050,13
333,SC04A 01,100955300174,14
334,SC04A 01,100955300368,15
335,SC04A 01,106346401333,16
336,SC04A 01,106346401071,17
337,SC04A 01,106346400679,18
338,SC04A 01,100125900367,19
339,SC04A 01,101137600375,20
340,SC04A 01,108115500354,21
341,SC04A 01,100376100646,22
342,SC04A 01,100376100910,23
343,SC04A 01,100376101220,24
344,SC04A 01,102966901116,25
345,SC04B 01,102966901035,1
346,SC04B 01,100376101350,2
347,SC04B 01,100226400190,3
348,SC04B 01,100226400586,4
349,SC04B 01,102744600427,5
350,SC04B 01,102744600275,6
351,SC04B 01,100376100655,7
352,SC04B 01,100376100391,8
353,SC04B 01,103200900244,9
354,SC04B 01,103200900690,10
355,SC04B 01,106994001065,11
356,SC04B 01,106994000731,12
357,SC04B 01,101909000786,13
358,SC04B 01,101909001264,14
359,SC04B 01,100955300799,15
360,SC04B 01,100955300557,16
361,SC04B 01,100955300161,17
362,SC04B 01,100955300021,18
363,SC04B 01,101873800629,19
364,SC04B 01,101873800287,20
365,SC04B 01,101722805809,21
366,SC04B 01,101722805341,22
367,SC04B 01,101722805057,23
368,SC04B 01,101722804861,24
369,SC04B 01,101722804489,25
370,SC04B 01,102966901813,26
371,SC04B 01,102966901653,27
372,SC04B 01,102966901445,28
373,SC04B 01,102966901035,29
374,SE02  01,109113003015,1
375,SE02  01,109113003101,2
376,SE02  01,109113002855,3
377,SE02  01,109113002691,4
378,SE02  01,109113002431,5
379,SE02  01,109113001951,6
380,SE02  01,109113001685,7
381,SE02  01,109124401205,8
382,SE02  01,109124400845,9
383,SE02  01,109124400537,10
384,SE02  01,105783004343,11
385,SE02  01,105783004103,12
386,SE02  01,105783003235,13
387,SE02  01,105783002671,14
388,SE02  01,105783002357,15
389,SE02  01,105783002221,16
390,SE02  01,105783001961,17
391,SE02  01,105783001751,18
392,SE02  01,105783001585,19
393,SE02  01,105783001305,20
394,SE02  01,105783001143,21
395,SE02  01,105783000615,22
396,SE02  01,105783000411,23
397,SE02  01,105783000111,24
398,SE02  01,100273001881,25
399,SE02  01,100435800601,26
400,SE02  01,100435800075,27
401,SE02  01,101873800629,28
402,SE02  01,108125601460,29
403,SE02  01,108125601620,30
404,SE02  01,101722806608,31
405,SE02  01,101722807060,32
406,SE02  01,101722807510,33
407,SE02  01,100273001890,34
408,SE02  01,105783000350,35
409,SE02  01,105783000450,36
410,SE02  01,105783000650,37
411,SE02  01,105783001002,38
412,SE02  01,105783001380,39
413,SE02  01,105783001626,40
414,SE02  01,105783001710,41
415,SE02  01,105783001800,42
416,SE02  01,105783002222,43
417,SE02  01,105783002664,44
418,SE02  01,105783003270,45
419,SE02  01,105783004040,46
420,SE02  01,109124400004,47
421,SE02  01,109124400640,48
422,SE02  01,110869500185,49
423,SE02  01,109113001360,50
424,SE02  01,109113001708,51
425,SE02  01,109113001962,52
426,SE02  01,109113002130,53
427,SE02  01,109113002316,54
428,SE02  01,109113002690,55
429,SE02  01,100139000216,56
430,SE02  01,108602000033,57
431,SE02  01,109113003015,58
432,101   01,111652000342,1
433,101   01,105446600071,2
434,101   01,109152100041,3
435,101   01,110894400067,4
436,101   01,106084400085,5
437,101   01,106084403011,6
438,101   01,130022400030,7
439,101   01,130022400308,8
440,101   01,130022400518,9
441,101   01,130022400590,10
442,101   01,130022400718,11
443,101   01,130022400906,12
444,101   01,101031702906,13
445,101   01,101031702501,14
446,101   01,100988401184,15
447,101   01,100988400570,16
448,101   01,100988400417,17
449,101   01,101216400311,18
450,101   01,104054000904,19
451,101   01,101867800945,20
452,101   01,106286500185,21
453,101   01,101216400334,22
454,101   01,104035000172,23
455,101   01,100988400570,24
456,101   01,100988401184,25
457,101   01,104761101460,26
458,101   01,104799602190,27
459,101   01,101031702906,28
460,101   01,101879400035,29
461,101   01,111652000342,30
462,102   01,130167900001,1
463,102   01,117011302325,2
464,102   01,117011301983,3
465,102   01,117011301789,4
466,102   01,117011301525,5
467,102   01,117011301235,6
468,102   01,117011300960,7
469,102   01,117011300365,8
470,102   01,117011300055,9
471,102   01,100236500076,10
472,102   01,101998600331,11
473,102   01,101998600057,12
474,102   01,105195000791,13
475,102   01,105195000657,14
476,102   01,102634200427,15
477,102   01,104635700162,16
478,102   01,105068200432,17
479,102   01,105068200650,18
480,102   01,105068200788,19
481,102   01,105068201014,20
482,102   01,105068201206,21
483,102   01,101299000358,22
484,102   01,101299000530,23
485,102   01,101299000774,24
486,102   01,101998600540,25
487,102   01,130039900270,26
488,102   01,130039900392,27
489,102   01,117011301788,28
490,102   01,117011302240,29
491,102   01,130167900001,30
492,102   02,130167900001,1
493,102   02,117011302325,2
494,102   02,117011301983,3
495,102   02,117011301789,4
496,102   02,130601100284,5
497,102   02,130601100368,6
498,102   02,130601100854,7
499,102   02,117011300365,8
500,102   02,117011300055,9
501,102   02,100236500076,10
502,102   02,101998600331,11
503,102   02,101998600057,12
504,102   02,105195000791,13
505,102   02,105195000657,14
506,102   02,102634200427,15
507,102   02,104635700162,16
508,102   02,105068200432,17
509,102   02,105068200650,18
510,102   02,105068200788,19
511,102   02,105068201014,20
512,102   02,105068201206,21
513,102   02,101299000358,22
514,102   02,101299000530,23
515,102   02,101299000774,24
516,102   02,101998600540,25
517,102   02,117011301788,26
518,102   02,117011302240,27
519,102   02,130167900001,28
520,103   01,112720600521,1
521,103   01,104539501225,2
522,103   01,100365800270,3
523,103   01,102678700673,4
524,103   01,103188500098,5
525,103   01,100380600295,6
526,103   01,100380600593,7
527,103   01,102344500105,8
528,103   01,108844400035,9
529,103   01,102315500052,10
530,103   01,102315500256,11
531,103   01,108920400325,12
532,103   01,130144800051,13
533,103   01,117235100115,14
534,103   01,117235100049,15
535,103   01,130040800054,16
536,103   01,102322800569,17
537,103   01,102322800521,18
538,103   01,102322800455,19
539,103   01,102322800349,20
540,103   01,102322800225,21
541,103   01,101117400171,22
542,103   01,105494500433,23
543,103   01,100157700033,24
544,103   01,105068200432,25
545,103   01,106474400212,26
546,103   01,105494500757,27
547,103   01,101117400156,28
548,103   01,102322800110,29
549,103   01,102322800226,30
550,103   01,102322800326,31
551,103   01,102322800498,32
552,103   01,102322800532,33
553,103   01,102322800660,34
554,103   01,117235100042,35
555,103   01,130144800062,36
556,103   01,108920400210,37
557,103   01,108920400322,38
558,103   01,100006700452,39
559,103   01,102315500065,40
560,103   01,108844400005,41
561,103   01,101404300037,42
562,103   01,112720600521,43
563,1030  05,101722811675,1
564,1030  05,100125900388,2
565,1030  05,100125900776,3
566,1030  05,100125902372,4
567,1030  05,100125902770,5
568,1030  05,100125903000,6
569,1030  05,100125903328,7
570,1030  05,100125903678,8
571,1030  05,100125903880,9
572,1030  05,100125904114,10
573,1030  05,100125904318,11
574,1030  05,100770600049,12
575,1030  05,100125904171,13
576,1030  05,100125903877,14
577,1030  05,100125903629,15
578,1030  05,100125903577,16
579,1030  05,100125903239,17
580,1030  05,100125902981,18
581,1030  05,100125902755,19
582,1030  05,100125900749,20
583,1030  05,100125900367,21
584,1030  05,101722811675,22
585,104   01,101722811675,1
586,104   01,101722811530,2
587,104   01,100125900388,3
588,104   01,100125900776,4
589,104   01,100125901162,5
590,104   01,100125901534,6
591,104   01,100125901908,7
592,104   01,100125902372,8
593,104   01,100125902770,9
594,104   01,100125903000,10
595,104   01,100125903328,11
596,104   01,105071400452,12
597,104   01,100125903577,13
598,104   01,100125903239,14
599,104   01,100125902981,15
600,104   01,100125902755,16
601,104   01,100125902323,17
602,104   01,100125901901,18
603,104   01,100125901421,19
604,104   01,100125901149,20
605,104   01,100125900749,21
606,104   01,100125900367,22
607,104   01,101722811675,23
608,105   01,100047300510,1
609,105   01,108115501022,2
610,105   01,108115501320,3
611,105   01,108115501582,4
612,105   01,108115501900,5
613,105   01,108115502020,6
614,105   01,108115502244,7
615,105   01,102605202323,8
616,105   01,102605201897,9
617,105   01,102605201545,10
618,105   01,102605201295,11
619,105   01,100673100474,12
620,105   01,100314000885,13
621,105   01,100314000687,14
622,105   01,100314000303,15
623,105   01,100047300510,16
624,105   03,100047300510,1
625,105   03,108124300150,2
626,105   03,100314000298,3
627,105   03,106682500482,4
628,105   03,100673100609,5
629,105   03,100673100325,6
630,105   03,108115501320,7
631,105   03,108115501582,8
632,105   03,108115501900,9
633,105   03,108115502020,10
634,105   03,108115502244,11
635,105   03,102605202323,12
636,105   03,102605201897,13
637,105   03,102605201545,14
638,105   03,102605201295,15
639,105   03,100673100474,16
640,105   03,100314000885,17
641,105   03,100314000687,18
642,105   03,100314000303,19
643,105   03,100047300510,20
644,107   01,117230800001,1
645,107   01,117230800070,2
646,107   01,117230800138,3
647,107   01,117230800196,4
648,107   01,130162300275,5
649,107   01,130162300185,6
650,107   01,130162300035,7
651,107   01,101739800421,8
652,107   01,101291800616,9
653,107   01,100236500195,10
