id_linha,nome_linha,shape_id,ponto_inicial,ponto_final
208   01,208,208-01I,100980200007,100130600640
618   04,618,618-04I,105481603700,105289203700
619   04,619,619-04I,102929300284,105289203700
642   04,642,642-04I,107042600140,101153700105
718   02,718,718-02I,106811100039,105289203700
63    09,63,63-09I,107042600140,101153700105
8401  07,8401,8401-07I,102694800630,102694800630
8103  08,8103,8103-08V,104038900495,103013200572
9414  07,9414,9414-07V,108307500226,700037500555
9502  08,9502,9502-08I,103544101023,106161701503
6034  01,6034,6034-01I,110659900332,101137600487
4403A 08,4403A,4403A-08I,104147000164,104147000164
740   01,740,740-01I,130435400021,130435400021
643   03,643,643-03I,107096101016,105289203700
636   10,636,636-10I,110998800036,105624400469
6030  02,6030,6030-02I,108550603755,101873800336
51    05,51,51-05I,105481603700,105481603700
715   04,715,715-04I,101865205600,101865205600
614   04,614,614-04I,101159300008,101159300008
618   03,618,618-03I,101481201300,101481201300
808   07,808,808-07I,101865205600,101865205600
4405  03,4405,4405-03I,109503000015,109503000015
4405  05,4405,4405-05I,109503000015,109503000015
9201  06,9201,9201-06V,106588902379,130020800005
8102  04,8102,8102-04V,112814900041,103721700111
8108  02,8108,8108-02I,104459400107,104459400107
9105  01,9105,9105-01I,700000100270,108050200209
5201  10,5201,5201-10I,106161701504,108972400279
402   06,402,402-06I,130063100003,130063100003
4405  06,4405,4405-06I,109503000015,109503000015
642   01,642,642-01I,108550603755,108550603755
8207  01,8207,8207-01I,107470400140,102471200430
9411  01,9411,9411-01V,108025300178,111617000760
8150  01,8150,8150-01V,101299000890,106583500120
4106  01,4106,4106-01I,105225600340,105225600340
4108  01,4108,4108-01I,103536600140,103536600140
5102  01,5102,5102-01V,106287800604,110428800190
9410  01,9410,9410-01I,102346001085,106112500200
9801  01,9801,9801-01V,101772200359,102321501410
304   01,304,304-01I,130311900120,130312000050
2101  02,2101,2101-02I,106588902151,107792000273
4113  03,4113,4113-03I,106479800015,113006201100
4410  01,4410,4410-01I,107104000671,107104000671
318   02,318,318-02I,100980200007,100130600640
SC01R 01,SC01R,SC01R-01I,103773700065,103773700065
1505  03,1505,1505-03V,102970300027,108307500226
