id_linha,nome_linha,shape_id,ponto_inicial,ponto_final
83D   01,83D,83D-01I,101865205600,101865205600
814   03,814,814-03I,101865205600,101865205600
712   02,712,712-02I,105289203700,105289203700
3030  02,3030,3030-02I,109276700200,109276700200
5106  02,5106,5106-02V,101438700550,108713600210
8101  03,8101,8101-03I,105803500405,105803500405
642   03,642,642-03I,108550603755,101153700105
4102  03,4102,4102-03I,104262003126,104262003166
9032  05,9032,9032-05I,108810000200,108810000200
706   01,706,706-01I,101865205600,101865205600
806   01,806,806-01I,101865205600,101865205600
5503B 02,5503B,5503B-02I,105678000132,105678000132
5401  01,5401,5401-01V,106939800133,112613001980
8102  01,8102,8102-01I,106583500151,106583500081
8103  01,8103,8103-01V,104038900495,103013200572
9106  01,9106,9106-01V,101299000896,101118700478
310   01,310,310-01I,130311900120,130312000050
402   01,402,402-01I,130063100003,130063100003
609   01,609,609-01I,112845400545,112845400545
4107  02,4107,4107-02V,130601100342,111762400014
504   01,504,504-01I,111564400100,111564400100
9503  02,9503,9503-02V,104781300385,112894600275
9030  02,9030,9030-02I,101137600343,101137600343
1505  02,1505,1505-02V,103483000146,101067600793
4111  02,4111,4111-02I,106939800501,101276000001
67    01,67,67-01I,110998800036,110998800036
4113  07,4113,4113-07V,113006201100,113006201100
5506A 02,5506A,5506A-02I,109690300019,102744600275
82    01,82,82-01I,101865205600,101865205600
617   01,617,617-01I,108510200227,108510200227
643   01,643,643-01I,107096101016,107096101016
8151  01,8151,8151-01I,101438700550,101438700550
9414  04,9414,9414-04V,100755800185,700037500555
625   02,625,625-02I,107042600140,101153700105
9032  01,9032,9032-01I,108810000200,108810000200
SC01R 02,SC01R,SC01R-02I,103773700065,103773700065
32    02,32,32-02I,100980200007,100130600640
9805  02,9805,9805-02V,104693700111,111654600300
34    02,34,34-02I,100980200007,100980200007
3050  14,3050,3050-14I,130311900120,130312000050
4111  04,4111,4111-04I,106939800501,106939800501
807   01,807,807-01I,101865205600,101865205600
330   05,330,330-05I,104294900119,100130600640
33    06,33,33-06I,100980200007,100980200007
4033  01,4033,4033-01I,105152800122,105152800122
5503A 06,5503A,5503A-06I,109588100160,109588100160
1030  05,1030,1030-05I,101722811675,101722811675
609   02,609,609-02I,112845400545,112845400545
609   03,609,609-03I,112845400545,112845400545
9405  03,9405,9405-03V,101018400381,106381400751
9805  03,9805,9805-03V,104693700111,111654600300
9105  04,9105,9105-04I,700000100270,700000100270
4501  04,4501,4501-04I,110666100231,110666100231
9405  04,9405,9405-04V,101018400381,106381400751
202   02,202,202-02I,100017000170,100017000170
709   01,709,709-01I,101865205600,101865205600
734   01,734,734-01I,101865205600,101865205600
64    09,64,64-09I,107042600140,101153700105
9209  01,9209,9209-01V,104482800035,102119000151
336   03,336,336-03I,112658802213,112658802213
3050  10,3050,3050-10I,130311900120,130312000050
637   07,637,637-07I,110998800036,111567200238
301   05,301,301-05I,130311900120,130312000050
9202  12,9202,9202-12V,112385400932,100053300023
641   04,641,641-04I,112845400545,110998800036
607   06,607,607-06I,110998800036,110998800036
5104  04,5104,5104-04I,104146700394,104146700394
617   04,617,617-04I,105481603700,104833700575
644   04,644,644-04I,105481603700,105289203700
737   05,737,737-05I,110998800036,110998800036
5104  03,5104,5104-03I,104146700394,104146700394
67    05,67,67-05I,110998800036,110998800036
832   07,832,832-07I,101865205600,101865205600
64    14,64,64-14I,107042600140,101153700105
9104  07,9104,9104-07V,112241700802,103549502274
4110  07,4110,4110-07I,106939800501,500019200340
6032  01,6032,6032-01I,110606600376,101137600487
814   05,814,814-05I,101865205600,101865205600
3020  01,3020,3020-01I,107853101800,100314000281
66    07,66,66-07I,110998800036,105124000319
620   03,620,620-03I,106893400065,105289203700
626   10,626,626-10I,600026400247,101153700105
618   05,618,618-05V,105481603700,111409000060
634   07,634,634-07I,110998800036,110659900332
634   09,634,634-09I,110659900332,110998800036
634   10,634,634-10I,110998800036,110998800036
813   02,813,813-02I,101865205600,101865205600
5250  03,5250,5250-03V,130828600055,105481603700
63    06,63,63-06I,107042600140,101153700105
5106  04,5106,5106-04I,108713600210,101438700550
737   03,737,737-03I,108625000141,108625000141
739   03,739,739-03I,110998800036,110998800036
3302B 02,3302B,3302B-02I,600001100044,600001100044
815   04,815,815-04I,102712800122,101865205600
8107  02,8107,8107-02I,103397900021,104035000151
8205  02,8205,8205-02I,109007800166,102922400045
9412  12,9412,9412-12I,112884500155,105567300150
5102  06,5102,5102-06I,110428806631,110428800190
832   01,832,832-01I,101865205600,101865205600
617   03,617,617-03I,108510200227,105481603700
51    03,51,51-03I,105481603700,105481603700
4102  01,4102,4102-01I,104262003126,101335600013
